spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped,Day_name,Month_name,Year_name
2J3n32GeLmMjwuAzyhcSNe,08-07-2013,web player,3185,"Say It, Just Say It",The Mowgli's,Waiting For The Dawn,autoplay,clickrow,FALSE,FALSE,Mon,Jul,2013
1oHxIPqJyvAYHy0PVrDU98,08-07-2013,web player,61865,Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,18 Months,clickrow,clickrow,FALSE,FALSE,Mon,Jul,2013
487OPlneJNni3NWC8SYqhW,08-07-2013,web player,285386,Born To Die,Lana Del Rey,Born To Die - The Paradise Edition,clickrow,unknown,FALSE,FALSE,Mon,Jul,2013
5IyblF777jLZj1vGHG2UD3,08-07-2013,web player,134022,Off To The Races,Lana Del Rey,Born To Die - The Paradise Edition,trackdone,clickrow,FALSE,FALSE,Mon,Jul,2013
0GgAAB0ZMllFhbNc3mAodO,08-07-2013,web player,0,Half Mast,Empire Of The Sun,Walking On A Dream,clickrow,nextbtn,FALSE,FALSE,Mon,Jul,2013
50VNvhzyaSplJCKWchN7a8,08-07-2013,web player,63485,Impossible,James Arthur,Impossible,clickrow,clickrow,FALSE,FALSE,Mon,Jul,2013
1I4EczxGBcPR3J3KeyqFJP,08-07-2013,web player,0,We Own The Sky,M83,Saturdays = Youth,nextbtn,nextbtn,FALSE,FALSE,Mon,Jul,2013
5arVt2Wg0zbiWwAOZef2Nl,08-07-2013,web player,1268,Higher Ground - Remastered 2003,Red Hot Chili Peppers,Mother's Milk,nextbtn,nextbtn,FALSE,FALSE,Mon,Jul,2013
1ixtaZc0Adil3yD1ItPqSl,08-07-2013,web player,0,Happy Up Here,Röyksopp,Happy Up Here,nextbtn,nextbtn,FALSE,FALSE,Mon,Jul,2013
2v5mpowLQNFN7NC46l0bJS,08-07-2013,web player,0,Phantom,Justice,Phantom,nextbtn,clickrow,FALSE,FALSE,Mon,Jul,2013
07hII2Rc29q4F2nTE3P1od,08-07-2013,web player,67587,Sun - Gildas Kitsunй Club Night Short Remix,Two Door Cinema Club,The Kitsuné Special Edition #3 (Kitsuné Maison 14: The Absinthe Edition + Gildas Kitsuné Club Night Mix #3),clickrow,clickrow,FALSE,FALSE,Mon,Jul,2013
